order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO43737,16,2263,2011-01-08,2011-01-15,2011-01-20,3578,1,3578.0
SO43738,17,608,2011-01-08,2011-01-15,2011-01-20,3578,1,3578.0
SO43739,20,2565,2011-01-08,2011-01-15,2011-01-20,3578,1,3578.0
SO43740,17,5529,2011-01-08,2011-01-15,2011-01-20,3578,1,3578.0
SO43741,20,16673,2011-01-09,2011-01-16,2011-01-21,3578,1,3578.0
SO43742,19,2578,2011-01-09,2011-01-16,2011-01-21,3578,1,3578.0
SO43743,10,9,2011-01-09,2011-01-16,2011-01-21,3400,1,3400.0
SO43744,18,5633,2011-01-09,2011-01-16,2011-01-21,3578,1,3578.0
SO43745,16,5516,2011-01-10,2011-01-17,2011-01-22,3578,1,3578.0
SO43746,17,5618,2011-01-10,2011-01-17,2011-01-22,3578,1,3578.0
SO43747,19,16625,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43748,18,16627,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43749,19,16638,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43750,16,593,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43751,18,594,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43752,16,2267,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43753,20,5484,2011-01-11,2011-01-18,2011-01-23,3578,1,3578.0
SO43754,17,16619,2011-01-12,2011-01-19,2011-01-24,3578,1,3578.0
SO43755,16,16672,2011-01-12,2011-01-19,2011-01-24,3578,1,3578.0
SO43756,39,8943,2011-01-12,2011-01-19,2011-01-24,699,1,699.0
SO43757,5,19,2011-01-12,2011-01-19,2011-01-24,3375,1,3375.0
SO43758,20,16648,2011-01-13,2011-01-20,2011-01-25,3578,1,3578.0
SO43759,20,2259,2011-01-13,2011-01-20,2011-01-25,3578,1,3578.0
SO43760,19,5354,2011-01-13,2011-01-20,2011-01-25,3578,1,3578.0
SO43761,20,5495,2011-01-13,2011-01-20,2011-01-25,3578,1,3578.0
SO43762,19,16580,2011-01-14,2011-01-21,2011-01-26,3578,1,3578.0
SO43763,18,5527,2011-01-14,2011-01-21,2011-01-26,3578,1,3578.0
SO43764,20,5614,2011-01-14,2011-01-21,2011-01-26,3578,1,3578.0
SO43765,9,12,2011-01-14,2011-01-21,2011-01-26,3400,1,3400.0
SO43766,18,5520,2011-01-15,2011-01-22,2011-01-27,3578,1,3578.0
SO43767,5,3,2011-01-15,2011-01-22,2011-01-27,3375,1,3375.0
SO43768,17,16651,2011-01-16,2011-01-23,2011-01-28,3578,1,3578.0
SO43769,17,10661,2011-01-16,2011-01-23,2011-01-28,3578,1,3578.0
SO43770,17,16616,2011-01-16,2011-01-23,2011-01-28,3578,1,3578.0
SO43771,44,3561,2011-01-16,2011-01-23,2011-01-28,699,1,699.0
SO43772,17,5526,2011-01-16,2011-01-23,2011-01-28,3578,1,3578.0
SO43773,19,5528,2011-01-16,2011-01-23,2011-01-28,3578,1,3578.0
SO43774,18,5350,2011-01-16,2011-01-23,2011-01-28,3578,1,3578.0
SO43775,10,29,2011-01-16,2011-01-23,2011-01-28,3400,1,3400.0
SO43776,19,2262,2011-01-17,2011-01-24,2011-01-29,3578,1,3578.0
SO43777,16,5517,2011-01-17,2011-01-24,2011-01-29,3578,1,3578.0
SO43778,8,20,2011-01-17,2011-01-24,2011-01-29,3400,1,3400.0
SO43779,42,14254,2011-01-17,2011-01-24,2011-01-29,699,1,699.0
SO43780,16,601,2011-01-18,2011-01-25,2011-01-30,3578,1,3578.0
SO43781,17,5497,2011-01-18,2011-01-25,2011-01-30,3578,1,3578.0
SO43782,17,5518,2011-01-18,2011-01-25,2011-01-30,3578,1,3578.0
SO43783,17,5622,2011-01-18,2011-01-25,2011-01-30,3578,1,3578.0
SO43784,20,16669,2011-01-19,2011-01-26,2011-01-31,3578,1,3578.0
SO43785,16,603,2011-01-19,2011-01-26,2011-01-31,3578,1,3578.0
SO43786,16,609,2011-01-19,2011-01-26,2011-01-31,3578,1,3578.0
SO43787,7,18387,2011-01-19,2011-01-26,2011-01-31,3400,1,3400.0
SO43788,6,241,2011-01-19,2011-01-26,2011-01-31,3375,1,3375.0
SO43789,6,14867,2011-01-19,2011-01-26,2011-01-31,3375,1,3375.0
SO43790,7,14859,2011-01-19,2011-01-26,2011-01-31,3400,1,3400.0
SO43791,19,5486,2011-01-19,2011-01-26,2011-01-31,3578,1,3578.0
SO43792,17,5625,2011-01-19,2011-01-26,2011-01-31,3578,1,3578.0
SO43793,7,2,2011-01-19,2011-01-26,2011-01-31,3400,1,3400.0
SO43794,10,31,2011-01-19,2011-01-26,2011-01-31,3400,1,3400.0
SO43795,17,16617,2011-01-20,2011-01-27,2011-02-01,3578,1,3578.0
SO43796,38,6958,2011-01-20,2011-01-27,2011-02-01,699,1,699.0
SO43797,17,5347,2011-01-20,2011-01-27,2011-02-01,3578,1,3578.0
SO43798,20,5523,2011-01-20,2011-01-27,2011-02-01,3578,1,3578.0
SO43799,17,5638,2011-01-20,2011-01-27,2011-02-01,3578,1,3578.0
SO43800,16,10712,2011-01-21,2011-01-28,2011-02-02,3578,1,3578.0
SO43801,16,2585,2011-01-21,2011-01-28,2011-02-02,3578,1,3578.0
SO43802,17,595,2011-01-21,2011-01-28,2011-02-02,3578,1,3578.0
SO43803,19,10743,2011-01-22,2011-01-29,2011-02-03,3578,1,3578.0
SO43804,20,2587,2011-01-22,2011-01-29,2011-02-03,3578,1,3578.0
SO43805,43,3512,2011-01-22,2011-01-29,2011-02-03,699,1,699.0
SO43806,17,5525,2011-01-22,2011-01-29,2011-02-03,3578,1,3578.0
SO43807,17,613,2011-01-23,2011-01-30,2011-02-04,3578,1,3578.0
SO43808,18,2261,2011-01-23,2011-01-30,2011-02-04,3578,1,3578.0
SO43809,20,5352,2011-01-23,2011-01-30,2011-02-04,3578,1,3578.0
SO43810,8,6,2011-01-23,2011-01-30,2011-02-04,3400,1,3400.0
SO43811,9,28,2011-01-23,2011-01-30,2011-02-04,3400,1,3400.0
SO43812,17,16664,2011-01-24,2011-01-31,2011-02-05,3578,1,3578.0
SO43813,5,17392,2011-01-24,2011-01-31,2011-02-05,3375,1,3375.0
SO43814,5,14868,2011-01-24,2011-01-31,2011-02-05,3375,1,3375.0
SO43815,16,5496,2011-01-24,2011-01-31,2011-02-05,3578,1,3578.0
SO43816,19,5498,2011-01-24,2011-01-31,2011-02-05,3578,1,3578.0
SO43817,20,5521,2011-01-24,2011-01-31,2011-02-05,3578,1,3578.0
SO43818,17,5530,2011-01-24,2011-01-31,2011-02-05,3578,1,3578.0
SO43819,9,8,2011-01-24,2011-01-31,2011-02-05,3400,1,3400.0
SO43820,17,16653,2011-01-25,2011-02-01,2011-02-06,3578,1,3578.0
SO43821,20,16665,2011-01-25,2011-02-01,2011-02-06,3578,1,3578.0
SO43822,18,16671,2011-01-25,2011-02-01,2011-02-06,3578,1,3578.0
SO43823,38,8944,2011-01-25,2011-02-01,2011-02-06,699,1,699.0
SO43824,36,3560,2011-01-25,2011-02-01,2011-02-06,699,1,699.0
SO43825,18,5351,2011-01-25,2011-02-01,2011-02-06,3578,1,3578.0
SO43826,3,10,2011-01-25,2011-02-01,2011-02-06,3375,1,3375.0
SO43827,36,14252,2011-01-25,2011-02-01,2011-02-06,699,1,699.0
SO43828,20,16607,2011-01-26,2011-02-02,2011-02-07,3578,1,3578.0
SO43829,20,16613,2011-01-26,2011-02-02,2011-02-07,3578,1,3578.0
SO43830,16,5349,2011-01-26,2011-02-02,2011-02-07,3578,1,3578.0
SO43831,4,30,2011-01-26,2011-02-02,2011-02-07,3375,1,3375.0
SO43832,20,2586,2011-01-26,2011-02-02,2011-02-07,3578,1,3578.0
SO43833,20,10729,2011-01-27,2011-02-03,2011-02-08,3578,1,3578.0
SO43834,3,17395,2011-01-27,2011-02-03,2011-02-08,3375,1,3375.0
SO43835,3,8804,2011-01-27,2011-02-03,2011-02-08,3375,1,3375.0
SO43836,47,15622,2011-01-27,2011-02-03,2011-02-08,699,1,699.0
SO43837,5,11,2011-01-27,2011-02-03,2011-02-08,3375,1,3375.0
SO43838,18,16643,2011-01-28,2011-02-04,2011-02-09,3578,1,3578.0
SO43839,16,16675,2011-01-28,2011-02-04,2011-02-09,3578,1,3578.0
SO43840,42,6959,2011-01-28,2011-02-04,2011-02-09,699,1,699.0
SO43841,19,2408,2011-01-28,2011-02-04,2011-02-09,3578,1,3578.0
SO43842,17,5632,2011-01-28,2011-02-04,2011-02-09,3578,1,3578.0
SO43918,18,11043,2011-01-29,2011-02-05,2011-02-10,3578,1,3578.0
SO43919,19,1126,2011-01-29,2011-02-05,2011-02-10,3578,1,3578.0
SO43920,18,17068,2011-01-29,2011-02-05,2011-02-10,3578,1,3578.0
SO43921,18,5745,2011-01-29,2011-02-05,2011-02-10,3578,1,3578.0
SO43922,20,2548,2011-01-29,2011-02-05,2011-02-10,3578,1,3578.0
SO43923,17,17020,2011-01-30,2011-02-06,2011-02-11,3578,1,3578.0
SO43924,20,1134,2011-01-30,2011-02-06,2011-02-11,3578,1,3578.0
SO43925,19,5663,2011-01-30,2011-02-06,2011-02-11,3578,1,3578.0
SO43926,6,57,2011-01-31,2011-02-07,2011-02-12,3375,1,3375.0
SO43927,19,5664,2011-01-31,2011-02-07,2011-02-12,3578,1,3578.0
SO43928,18,5742,2011-01-31,2011-02-07,2011-02-12,3578,1,3578.0
SO43929,46,14272,2011-01-31,2011-02-07,2011-02-12,699,1,699.0
SO43930,17,17040,2011-02-01,2011-02-08,2011-02-13,3578,1,3578.0
SO43931,18,2550,2011-02-01,2011-02-08,2011-02-13,3578,1,3578.0
SO43932,19,5743,2011-02-01,2011-02-08,2011-02-13,3578,1,3578.0
SO43933,10,33,2011-02-01,2011-02-08,2011-02-13,3400,1,3400.0
SO43934,9,36,2011-02-01,2011-02-08,2011-02-13,3400,1,3400.0
SO43935,40,9050,2011-02-02,2011-02-09,2011-02-14,699,1,699.0
SO43936,16,17067,2011-02-02,2011-02-09,2011-02-14,3578,1,3578.0
SO43937,17,6049,2011-02-02,2011-02-09,2011-02-14,3578,1,3578.0
SO43938,20,5688,2011-02-02,2011-02-09,2011-02-14,3578,1,3578.0
SO43939,17,5661,2011-02-02,2011-02-09,2011-02-14,3578,1,3578.0
SO43940,41,14296,2011-02-02,2011-02-09,2011-02-14,699,1,699.0
SO43941,19,2602,2011-02-03,2011-02-10,2011-02-15,3578,1,3578.0
SO43942,20,6053,2011-02-03,2011-02-10,2011-02-15,3578,1,3578.0
SO43943,36,3567,2011-02-03,2011-02-10,2011-02-15,699,1,699.0
SO43944,7,56,2011-02-03,2011-02-10,2011-02-15,3400,1,3400.0
SO43945,20,5677,2011-02-03,2011-02-10,2011-02-15,3578,1,3578.0
SO43946,18,5689,2011-02-03,2011-02-10,2011-02-15,3578,1,3578.0
SO43947,20,5714,2011-02-03,2011-02-10,2011-02-15,3578,1,3578.0
SO43948,8,49,2011-02-03,2011-02-10,2011-02-15,3400,1,3400.0
SO43949,20,16728,2011-02-04,2011-02-11,2011-02-16,3578,1,3578.0
SO43950,16,17016,2011-02-04,2011-02-11,2011-02-16,3578,1,3578.0
SO43951,16,5698,2011-02-04,2011-02-11,2011-02-16,3578,1,3578.0
SO43952,17,5641,2011-02-04,2011-02-11,2011-02-16,3578,1,3578.0
SO43953,38,9051,2011-02-05,2011-02-12,2011-02-17,699,1,699.0
SO43954,16,2604,2011-02-05,2011-02-12,2011-02-17,3578,1,3578.0
SO43955,19,2663,2011-02-05,2011-02-12,2011-02-17,3578,1,3578.0
SO43956,7,32,2011-02-05,2011-02-12,2011-02-17,3400,1,3400.0
SO43957,18,17070,2011-02-06,2011-02-13,2011-02-18,3578,1,3578.0
SO43958,17,5660,2011-02-06,2011-02-13,2011-02-18,3578,1,3578.0
SO43959,3,37,2011-02-06,2011-02-13,2011-02-18,3375,1,3375.0
SO43960,4,48,2011-02-06,2011-02-13,2011-02-18,3375,1,3375.0
SO43961,16,17033,2011-02-07,2011-02-14,2011-02-19,3578,1,3578.0
SO43962,17,17078,2011-02-07,2011-02-14,2011-02-19,3578,1,3578.0
SO43963,19,5687,2011-02-07,2011-02-14,2011-02-19,3578,1,3578.0
SO43964,17,5747,2011-02-07,2011-02-14,2011-02-19,3578,1,3578.0
SO43965,6,40,2011-02-07,2011-02-14,2011-02-19,3375,1,3375.0
SO43966,10,41,2011-02-07,2011-02-14,2011-02-19,3400,1,3400.0
SO43967,18,17042,2011-02-08,2011-02-15,2011-02-20,3578,1,3578.0
SO43968,18,17069,2011-02-08,2011-02-15,2011-02-20,3578,1,3578.0
SO43969,20,17073,2011-02-08,2011-02-15,2011-02-20,3578,1,3578.0
SO43970,16,5686,2011-02-08,2011-02-15,2011-02-20,3578,1,3578.0
SO43971,19,5659,2011-02-08,2011-02-15,2011-02-20,3578,1,3578.0
SO43972,19,10941,2011-02-09,2011-02-16,2011-02-21,3578,1,3578.0
SO43973,17,17041,2011-02-09,2011-02-16,2011-02-21,3578,1,3578.0
SO43974,17,2689,2011-02-09,2011-02-16,2011-02-21,3578,1,3578.0
SO43975,17,2542,2011-02-09,2011-02-16,2011-02-21,3578,1,3578.0
SO43976,20,17065,2011-02-09,2011-02-16,2011-02-21,3578,1,3578.0
SO43977,17,5705,2011-02-09,2011-02-16,2011-02-21,3578,1,3578.0
SO43978,20,17032,2011-02-10,2011-02-17,2011-02-22,3578,1,3578.0
SO43979,46,3578,2011-02-10,2011-02-17,2011-02-22,699,1,699.0
SO43980,6,50,2011-02-10,2011-02-17,2011-02-22,3375,1,3375.0
SO43981,19,5666,2011-02-10,2011-02-17,2011-02-22,3578,1,3578.0
SO43982,38,14273,2011-02-10,2011-02-17,2011-02-22,699,1,699.0
SO43983,19,17019,2011-02-11,2011-02-18,2011-02-23,3578,1,3578.0
SO43984,16,2547,2011-02-11,2011-02-18,2011-02-23,3578,1,3578.0
SO43985,18,2517,2011-02-11,2011-02-18,2011-02-23,3578,1,3578.0
SO43986,20,17072,2011-02-11,2011-02-18,2011-02-23,3578,1,3578.0
SO43987,20,17044,2011-02-12,2011-02-19,2011-02-24,3578,1,3578.0
SO43988,7,246,2011-02-12,2011-02-19,2011-02-24,3400,1,3400.0
SO43989,17,17085,2011-02-12,2011-02-19,2011-02-24,3578,1,3578.0
SO43990,7,14874,2011-02-12,2011-02-19,2011-02-24,3400,1,3400.0
SO43991,20,5662,2011-02-12,2011-02-19,2011-02-24,3578,1,3578.0
SO43992,16,5640,2011-02-12,2011-02-19,2011-02-24,3578,1,3578.0
SO43993,19,5931,2011-02-14,2011-02-21,2011-02-26,3578,1,3578.0
SO43994,19,16683,2011-02-15,2011-02-22,2011-02-27,3578,1,3578.0
SO43995,17,10815,2011-02-15,2011-02-22,2011-02-27,3578,1,3578.0
SO43996,20,16922,2011-02-15,2011-02-22,2011-02-27,3578,1,3578.0
SO43997,20,17024,2011-02-15,2011-02-22,2011-02-27,3578,1,3578.0
SO43998,3,35,2011-02-15,2011-02-22,2011-02-27,3375,1,3375.0
SO43999,16,17049,2011-02-15,2011-02-22,2011-02-27,3578,1,3578.0
SO44000,16,16920,2011-02-16,2011-02-23,2011-02-28,3578,1,3578.0
SO44001,18,17046,2011-02-16,2011-02-23,2011-02-28,3578,1,3578.0
SO44002,41,3574,2011-02-16,2011-02-23,2011-02-28,699,1,699.0
SO44003,38,8327,2011-02-16,2011-02-23,2011-02-28,699,1,699.0
SO44004,20,17063,2011-02-16,2011-02-23,2011-02-28,3578,1,3578.0
SO44005,40,15631,2011-02-16,2011-02-23,2011-02-28,699,1,699.0
SO44006,20,5746,2011-02-16,2011-02-23,2011-02-28,3578,1,3578.0
SO44007,45,14557,2011-02-16,2011-02-23,2011-02-28,699,1,699.0
SO44008,17,16680,2011-02-17,2011-02-24,2011-03-01,3578,1,3578.0
SO44009,19,16761,2011-02-17,2011-02-24,2011-03-01,3578,1,3578.0
SO44010,20,2682,2011-02-17,2011-02-24,2011-03-01,3578,1,3578.0
SO44011,20,2516,2011-02-17,2011-02-24,2011-03-01,3578,1,3578.0
SO44012,4,54,2011-02-17,2011-02-24,2011-03-01,3375,1,3375.0
SO44013,17,5930,2011-02-17,2011-02-24,2011-03-01,3578,1,3578.0
SO44014,18,16919,2011-02-18,2011-02-25,2011-03-02,3578,1,3578.0
SO44015,16,2695,2011-02-18,2011-02-25,2011-03-02,3578,1,3578.0
SO44016,5,249,2011-02-18,2011-02-25,2011-03-02,3375,1,3375.0
SO44017,20,17080,2011-02-18,2011-02-25,2011-03-02,3578,1,3578.0
SO44018,5,14878,2011-02-18,2011-02-25,2011-03-02,3375,1,3375.0
SO44019,20,5703,2011-02-18,2011-02-25,2011-03-02,3578,1,3578.0
SO44020,16,5933,2011-02-18,2011-02-25,2011-03-02,3578,1,3578.0
SO44021,3,34,2011-02-18,2011-02-25,2011-03-02,3375,1,3375.0
SO44022,18,11010,2011-02-19,2011-02-26,2011-03-03,3578,1,3578.0
SO44023,4,8832,2011-02-19,2011-02-26,2011-03-03,3375,1,3375.0
SO44024,19,5665,2011-02-19,2011-02-26,2011-03-03,3578,1,3578.0
SO44025,19,5710,2011-02-19,2011-02-26,2011-03-03,3578,1,3578.0
SO44026,20,6047,2011-02-19,2011-02-26,2011-03-03,3578,1,3578.0
SO44027,20,10923,2011-02-20,2011-02-27,2011-03-04,3578,1,3578.0
SO44028,17,6050,2011-02-20,2011-02-27,2011-03-04,3578,1,3578.0
SO44029,5,52,2011-02-20,2011-02-27,2011-03-04,3375,1,3375.0
SO44030,16,1133,2011-02-21,2011-02-28,2011-03-05,3578,1,3578.0
SO44031,18,2691,2011-02-21,2011-02-28,2011-03-05,3578,1,3578.0
SO44032,7,245,2011-02-21,2011-02-28,2011-03-05,3400,1,3400.0
SO44033,19,5695,2011-02-21,2011-02-28,2011-03-05,3578,1,3578.0
SO44034,18,5704,2011-02-21,2011-02-28,2011-03-05,3578,1,3578.0
SO44035,17,5709,2011-02-21,2011-02-28,2011-03-05,3578,1,3578.0
SO44036,20,6048,2011-02-21,2011-02-28,2011-03-05,3578,1,3578.0
SO44037,43,14274,2011-02-21,2011-02-28,2011-03-05,699,1,699.0
SO44038,7,14870,2011-02-21,2011-02-28,2011-03-05,3400,1,3400.0
SO44039,38,6973,2011-02-22,2011-03-01,2011-03-06,699,1,699.0
SO44040,6,59,2011-02-22,2011-03-01,2011-03-06,3375,1,3375.0
SO44041,18,5744,2011-02-22,2011-03-01,2011-03-06,3578,1,3578.0
SO44042,18,2680,2011-02-23,2011-03-02,2011-03-07,3578,1,3578.0
SO44043,16,2681,2011-02-23,2011-03-02,2011-03-07,3578,1,3578.0
SO44044,19,2692,2011-02-23,2011-03-02,2011-03-07,3578,1,3578.0
SO44045,7,17396,2011-02-23,2011-03-02,2011-03-07,3400,1,3400.0
SO44046,18,17066,2011-02-23,2011-03-02,2011-03-07,3578,1,3578.0
SO44047,7,14880,2011-02-23,2011-03-02,2011-03-07,3400,1,3400.0
SO44048,19,5715,2011-02-23,2011-03-02,2011-03-07,3578,1,3578.0
SO44049,19,2540,2011-02-24,2011-03-03,2011-03-08,3578,1,3578.0
SO44050,20,6052,2011-02-24,2011-03-03,2011-03-08,3578,1,3578.0
SO44051,20,2693,2011-02-25,2011-03-04,2011-03-09,3578,1,3578.0
SO44052,19,5639,2011-02-25,2011-03-04,2011-03-09,3578,1,3578.0
SO44053,36,8331,2011-02-26,2011-03-05,2011-03-10,699,1,699.0
SO44054,19,2544,2011-02-26,2011-03-05,2011-03-10,3578,1,3578.0
SO44055,20,2545,2011-02-26,2011-03-05,2011-03-10,3578,1,3578.0
SO44056,19,2561,2011-02-26,2011-03-05,2011-03-10,3578,1,3578.0
SO44057,36,3579,2011-02-26,2011-03-05,2011-03-10,699,1,699.0
SO44058,5,58,2011-02-26,2011-03-05,2011-03-10,3375,1,3375.0
SO44059,18,5690,2011-02-26,2011-03-05,2011-03-10,3578,1,3578.0
SO44060,38,14275,2011-02-26,2011-03-05,2011-03-10,699,1,699.0
SO44061,20,16921,2011-02-27,2011-03-06,2011-03-11,3578,1,3578.0
SO44062,20,17043,2011-02-27,2011-03-06,2011-03-11,3578,1,3578.0
SO44063,7,242,2011-02-27,2011-03-06,2011-03-11,3400,1,3400.0
SO44064,20,11052,2011-02-27,2011-03-06,2011-03-11,3578,1,3578.0
SO44065,20,17064,2011-02-27,2011-03-06,2011-03-11,3578,1,3578.0
SO44066,7,14869,2011-02-27,2011-03-06,2011-03-11,3400,1,3400.0
SO44067,20,6051,2011-02-27,2011-03-06,2011-03-11,3578,1,3578.0
SO44068,18,2543,2011-02-28,2011-03-07,2011-03-12,3578,1,3578.0
SO44069,4,17397,2011-02-28,2011-03-07,2011-03-12,3375,1,3375.0
SO44070,4,8831,2011-02-28,2011-03-07,2011-03-12,3375,1,3375.0
SO44071,18,5693,2011-02-28,2011-03-07,2011-03-12,3578,1,3578.0
SO44072,16,5658,2011-02-28,2011-03-07,2011-03-12,3578,1,3578.0
SO44073,6,46,2011-02-28,2011-03-07,2011-03-12,3375,1,3375.0
SO44134,20,2823,2011-03-01,2011-03-08,2011-03-13,3578,1,3578.0
SO44135,20,17158,2011-03-01,2011-03-08,2011-03-13,3578,1,3578.0
SO44136,16,11116,2011-03-01,2011-03-08,2011-03-13,3578,1,3578.0
SO44137,19,6330,2011-03-01,2011-03-08,2011-03-13,3578,1,3578.0
SO44138,20,2767,2011-03-02,2011-03-09,2011-03-14,3578,1,3578.0
SO44139,16,2794,2011-03-02,2011-03-09,2011-03-14,3578,1,3578.0
SO44140,16,1223,2011-03-02,2011-03-09,2011-03-14,3578,1,3578.0
SO44141,18,2574,2011-03-02,2011-03-09,2011-03-14,3578,1,3578.0
SO44142,18,11060,2011-03-02,2011-03-09,2011-03-14,3578,1,3578.0
SO44143,18,17147,2011-03-02,2011-03-09,2011-03-14,3578,1,3578.0
SO44144,17,6073,2011-03-02,2011-03-09,2011-03-14,3578,1,3578.0
SO44145,20,6311,2011-03-02,2011-03-09,2011-03-14,3578,1,3578.0
SO44146,18,6312,2011-03-02,2011-03-09,2011-03-14,3578,1,3578.0
SO44147,20,6322,2011-03-02,2011-03-09,2011-03-14,3578,1,3578.0
SO44148,20,17174,2011-03-03,2011-03-10,2011-03-15,3578,1,3578.0
SO44149,17,6244,2011-03-03,2011-03-10,2011-03-15,3578,1,3578.0
SO44150,17,6317,2011-03-03,2011-03-10,2011-03-15,3578,1,3578.0
SO44151,43,14560,2011-03-03,2011-03-10,2011-03-15,699,1,699.0
SO44152,9,336,2011-03-04,2011-03-11,2011-03-16,3400,1,3400.0
SO44153,17,17170,2011-03-04,2011-03-11,2011-03-16,3578,1,3578.0
SO44154,16,17183,2011-03-04,2011-03-11,2011-03-16,3578,1,3578.0
SO44155,18,17133,2011-03-04,2011-03-11,2011-03-16,3578,1,3578.0
SO44156,9,14889,2011-03-04,2011-03-11,2011-03-16,3400,1,3400.0
SO44157,19,6057,2011-03-04,2011-03-11,2011-03-16,3578,1,3578.0
SO44158,16,2569,2011-03-05,2011-03-12,2011-03-17,3578,1,3578.0
SO44159,16,17184,2011-03-05,2011-03-12,2011-03-17,3578,1,3578.0
SO44160,17,17188,2011-03-05,2011-03-12,2011-03-17,3578,1,3578.0
SO44161,19,2774,2011-03-06,2011-03-13,2011-03-18,3578,1,3578.0
SO44162,16,17187,2011-03-06,2011-03-13,2011-03-18,3578,1,3578.0
SO44163,19,17195,2011-03-06,2011-03-13,2011-03-18,3578,1,3578.0
SO44164,20,17090,2011-03-06,2011-03-13,2011-03-18,3578,1,3578.0
SO44165,18,6067,2011-03-06,2011-03-13,2011-03-18,3578,1,3578.0
SO44166,36,3583,2011-03-06,2011-03-13,2011-03-18,699,1,699.0
SO44167,19,6310,2011-03-06,2011-03-13,2011-03-18,3578,1,3578.0
SO44168,18,1213,2011-03-07,2011-03-14,2011-03-19,3578,1,3578.0
SO44169,16,17181,2011-03-07,2011-03-14,2011-03-19,3578,1,3578.0
SO44170,19,17185,2011-03-07,2011-03-14,2011-03-19,3578,1,3578.0
SO44171,18,17114,2011-03-07,2011-03-14,2011-03-19,3578,1,3578.0
SO44172,36,3586,2011-03-07,2011-03-14,2011-03-19,699,1,699.0
SO44173,17,2786,2011-03-08,2011-03-15,2011-03-20,3578,1,3578.0
